id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_op_parent_student,name_op_parent_student,model_op_parent,openeducat_core.group_op_student,1,0,0,0
access_op_parent_back_office,name_op_parent_back_office,model_op_parent,openeducat_core.group_op_back_office,1,1,1,1
access_res_users_back_office,name_res_users_back_office,base.model_res_users,openeducat_core.group_op_back_office_admin,1,1,1,1
access_op_parent_op_parent,name_op_parent_op_parent,model_op_parent,group_op_parent,1,0,0,0
access_op_batch_parent,name_op_batch_parent,openeducat_core.model_op_batch,group_op_parent,1,0,0,0
access_op_res_country_parent,name_op_res_country_parent,base.model_res_country,group_op_parent,1,0,0,0
access_op_course_parent,name_op_course_parent,openeducat_core.model_op_course,group_op_parent,1,0,0,0
access_op_subject_parent,name_op_subject_parent,openeducat_core.model_op_subject,group_op_parent,1,0,0,0
access_op_student_parent,op_student_parent,openeducat_core.model_op_student,group_op_parent,1,0,0,0
access_op_faculty_parent,op_faculty_parent,openeducat_core.model_op_faculty,group_op_parent,1,0,0,0
access_op_student_course_parent,op_student_course_parent,openeducat_core.model_op_student_course,group_op_parent,1,0,0,0
